#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2016,Modificaciones 2016,Credito definitivo 2016,Obligado 2016
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,22199,BESTELAKO HORNIDURAK,110,9,2,1900,0,1900,1548.92
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,22602,PROTOKOLO ETA ORDEZKARITZAKO ARRETA,110,9,2,47500,-1840.69,45659.31,42480
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,22699,BESTELAKO GASTUAK,110,9,2,3000,0,3000,6753.28
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,22717,BIDAI AGENTZIETAKO ZERBITZUAK,110,9,2,18000,1640.59,19640.59,12643.71
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,22754,PRESTAKUNTZA ETA IKASKETA ZERBITZUAK,110,9,2,3000,0,3000,6879
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,23101,"BIDAI SARIAK, GOI KARGUDUNEN GARRAIOA ETA LOKOMOZIOA",110,9,2,56000,0,56000,56000
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,48101,TRANSFERENTZIA ARRUNTAK UDALEKO TALDE POLITIKOEI,110,9,4,527100,0,527100,527100
110,ALKATETZA ETA KONTRATAZIOA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,20501,INFORMAZIO PROZESUETARAKO EKIPOAK ALOKATZEA,110,9,2,300000,0,300000,237739.86
110,ALKATETZA ETA KONTRATAZIOA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,22003,MATERIAL INFORMATIKO INBENTARIAEZINA,110,9,2,694513,0,694513,565083.19
110,ALKATETZA ETA KONTRATAZIOA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,22712,ZERBITZU INFORMATIKOAK,110,9,2,7677725,-120378,7557347,7118356.53
110,ALKATETZA ETA KONTRATAZIOA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,62601,ZERBITZU PUBLIKORAKO INFORMAZIOA PROZESATZEKO EKIPOAK,110,9,6,55000,0,55000,0
110,ALKATETZA ETA KONTRATAZIOA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,62609,ZERBITZU PUBLIKORAKO INFORMAZIOA PROZESATZEKO EKIPOAK (TALDEKO ERAKUNDEAK),110,9,6,0,0,0,54570.28
