#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Presupuesto inicial (Proyecto Ppto.)
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22603,PUBLIZITATEA ETA PROPAGANDA,110,9,2,1000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22604,GASTU JURIDIKOAK,110,9,2,1500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22610,KALTE-ORDAINAK,110,9,2,2500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22699,BESTELAKO GASTUAK,110,9,2,5000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22707,AZTERLAN ETA LAN TEKNIKOAK,110,9,2,15000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22712,ZERBITZU INFORMATIKOAK,110,9,2,102500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22721,GARBIKETA ZERBITZUAK,110,9,2,2100
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,23901,BESTELAKO KALTE-ORDAINAK. EPAIMAHAIKIDE JARDUTEA,110,9,2,6000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,62599,ZERBITZU PUBLIKORAKO BESTE TRESNA BATZUK,110,9,6,4000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,62901,ZERBITZU PUBLIKORAKO BESTE INBERTSIO BATZUK,110,9,6,10000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,64401,APLIKAZIO INFORMATIKOAK,110,9,6,70000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,83301,EPE LUZERAKO AURRERAKINAK EMATEA LANGILEEI,110,9,8,400000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,20501,INFORMAZIO PROZESUETARAKO EKIPOAK ALOKATZEA,110,9,2,297000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,22712,ZERBITZU INFORMATIKOAK,110,9,2,8163400
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,62609,ZERBITZU PUBLIKORAKO INFORMAZIOA PROZESATZEKO EKIPOAK (TALDEKO ERAKUNDEAK),110,9,6,55000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,73307,KAPITAL TRANSFERENTZIAK CIMUBISARI,110,9,7,537000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,1882484
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12101,LANTOKI OSAGARRIA,110,9,1,600851
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12102,OSAGARRI BEREZIA,110,9,1,2477906
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,372222
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12104,HABOROKINAK,110,9,1,3629
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,16001,GIZARTE SEGURANTZA,110,9,1,1469989
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,16004,ELKARKIDETZAKO KUOTAK,110,9,1,77517
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22699,BESTELAKO GASTUAK,110,9,2,4000
